asset_id,name
W01E122503,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E106624,CVS 2020 - Master - WB-S Abbrev List Better MDP 200626 Creative Swap
W42952,CVS 2020 - Master - WB-S Abbrev List BetterMDP 201026 Creative Swap
W01E101481,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E103580,IMBRUVICA CLL 2H 2020 - WB-S - 200701 - Launch
W01E100428,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W35064,Tremfya 2020 - WB-S 200622 Launch
W01E126657,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200803 Launch
W01E126657,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200827 Creative Swap
W27215,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01Y114052,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E100985,Repatha_2020_Master_WB_200601_Launch
W01E123292,Unity4TeenVax_2020_2H_WB_200720_Launch
W01Y106064,Ajovy 2020 - 200715 - WB-S - Creative Swap
W25876,Ajovy 2020 - Master - New Targeting - 201101 - WB-S - Launch
W08070,Ajovy 2020 - 200715 - WB-S - Creative Swap
W35133,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W01E104124,Tecentriq Avastin 2020 HCC - Master - WB-S 201207 Creative Swap
W01E117526,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E106636,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200921 Creative Swap
W01E128134,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W14557,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W38738,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W04675,Xywav 2020 - Master - 210104 - WB-S - Creative Swap
W01E134173,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E102347,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W35174,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W28704,Repatha_2020_Master_WB_200601_Launch
W01E104525,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01E104525,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E124553,Xywav 2020 - Master - 201001 - WB-S - Launch
W01E112364,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W20051,Tremfya 2020 - WB-S 200618 Launch
W01E116881,IMBRUVICA CLL 2H 2020 - WB-S - 200715 - ISI Swap
W11330,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E106636,Ajovy 2020 - 200701 - WB-S - Launch
W01E102335,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W42952,Soliqua 2020 - WB-S - Writers Target - 201208 - Creative Swap
W01E126217,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W35133,Edwards Lifescience March - October 2020 - 200727 - WB-S - Increased Frequency- URL swap
W01961,Trelegy COPD 2020 - Master - Patient Companion - 201008 - WB-S - Launch
W10624,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W14461,CVS 2020 - Master - WB-S Zip Specific BetterMDP 200810 Creative Swap
W25876,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W01Y114052,Ilumya 2020 - Master - 200501 - WB-S - Launch
W01E100919,CVS 2020 - Master - WB-S Abbrev List Delivery 200921 Creative Swap
W43673,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01Y102970,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E125206,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W07548,Phesgo Q4 2020 - Master - WB-S Q4 Incremental New Contract 201104 Launch
W35052,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E121274,Ajovy 2020 - 200715 - WB-S - Creative Swap
W43235,Soliqua 2020 - WB-S - Writers Target - 201208 - Creative Swap
W42795,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01Y108053,Xeomin - 2020 2021 DTC - 201001 - WB-S - Launch
W01E104524,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200810 Creative Swap
W36218,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W46718,Ilumya 2020 - Master - 200501 - WB-S - Launch
W01E120416,Unity4TeenVax_2020_2H_WB_200720_Launch
W25988,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E132428,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200827 Creative Swap
W10293,Unity4TeenVax_2020_2H_WB_200720_Launch
W01Y100314,Repatha_2020_Master_WB_200601_Launch
W01E122843,Unity4TeenVax_2020_2H_WB_200720_Launch
W46702,Ilumya 2020 - Master - WB -S - 200512 - Creative Swap
W16024,Tremfya 2020 - WB-S - 200901 - ISI Swap
W06914,Unity4TeenVax_2020_2H_WB_200720_Launch
W03951,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W15583,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E105045,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E117238,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E103850,Edwards Lifescience March - October 2020 - 200727 - WB-S - URL swap
W01E110138,CVS 2020 - Master - WB-S Peds BetterMDP 200921 Creative Swap
W08494,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E122131,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E106142,Unity4TeenVax_2020_2H_WB_200720_Launch
W32000,Soliqua 2020 - WB-S - Non Writers Target - 200805 - Launch
W11235,Phesgo Q4 2020 - Master - WB-S Q4 Incremental New Contract 201104 Launch
W28733,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E128152,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W43352,CVS 2020 - Master - WB-S Abbrev List Better MDP 200317 Creative Swap
W01E102435,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W01Y103485,IMBRUVICA CLL 2H 2020 - WB-S - 200701 - Launch
W01E126239,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E113259,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E107742,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E129250,Unity4TeenVax_2020_2H_WB_200720_Launch
W08273,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E124260,CVS 2020 - Master - WB-S Peds Delivery 201026 Creative Swap
W01E126240,Soliqua 2020 - WB-S - Writers Target - 200805 - Launch
W26463,CVS 2020 - Master - WB-S Abbrev List Delivery 200810 Creative Swap
W01E119799,Repatha_2020_Master_WB_S_200401_Launch
W01Y113073,CVS 2020 - Master - WB-S Peds BetterMDP 200414 Creative Swap
W01E127896,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E119478,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E129093,Nucala Q4 2020 Revival - Master - Patient Companion - 201021 - WB-S - Launch
W01E126843,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E134143,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E106716,Tremfya 2020 - WB-S 200622 Launch
W01E107198,Tremfya 2020 - WB-S 200622 Launch
W01E126965,Tecentriq  Avastin 2020 HCC - Master - WB-S - 201009 Launch
W01E106123,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E125260,Unity4TeenVax_2020_2H_WB_200720_Launch
W13341,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W06187,Unity4TeenVax_2020_2H_WB_200720_Launch
W27197,Repatha_2020_Master_WB_200601_Launch
W01E122255,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W27215,Repatha_2020_Master_WB_S_200401_Launch
W43773,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E104527,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200102 Launch
W01E132428,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200803 Launch
W06881,Unity4TeenVax_2020_2H_WB_200720_Launch
W09279,Xeomin - 2020 2021 DTC - 201001 - WB-S - Launch
W01E134141,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E122467,CVS 2020 - Master - WB-S Abbrev List Better MDP 200317 Creative Swap
W08198,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E131904,Anoro 2020 - Master - Patient Companion - 201015 - WB-S - Launch
W28551,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E103850,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E106272,Repatha_2020_Master_WB_200601_Launch
W01119,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W32000,Soliqua 2020 - WB-S - Non Writers Target - 201020 - Creative Swap
W32000,Soliqua 2020 - WB-S - Non Writers Target - 201208 - Creative Swap
W06218,Shingrix 2020 Master - 200815 - WB-S - Launch
W01E129602,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E104687,CVS 2020 - Master - WB-S Abbrev List Delivery 200921 Creative Swap
W08195,CVS 2020 - Master - WB-S Zip Specific  BetterMDP 200102 Launch
W01E125820,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E132428,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E131584,Trelegy COPD 2020 - Master - Patient Companion - 201008 - WB-S - Launch
W01Y102439,IMBRUVICA CLL 2H 2020 - WB-S - 201119 - Creative Swap
W01E124260,CVS 2020 - Master - WB-S Peds Delivery 200102 Launch
W01E119990,Tecentriq Avastin 2020 HCC - Master - WB-S 201207 Creative Swap
W01E133275,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E127633,Unity4TeenVax_2020_2H_WB_200720_Launch
W37122,Epclusa 2020 - Addendum INI - WB-S - 200901 - Creative Swap
W24475,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W42762,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W13398,Epclusa 2020 - Addendum INI - WB-S - 200901 - Creative Swap
W01Y105516,Nucala Q4 2020 Revival - Master - 201001 - WB-S - Launch
W07699,Tremfya 2020 - WB-S 200618 Launch
W36566,Ozempic 2020 Agency Change - Master - WB-S 200817 Creative Swap
W09759,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E129097,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E132241,Soliqua 2020 - WB-S - Writers Target - 201020 - Creative Swap
W04745,Tremfya 2020 - WB-S - 200901 - ISI Swap
W01E105035,CVS 2020 - Master - WB-S Abbrev List Delivery 201026 Creative Swap
W35322,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E101507,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E100960,CVS 2020 - Master - WB-S Peds Better MDP 200626 Creative Swap
W15175,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W04540,Repatha_2020_Master_WB_200601_Launch
W01E128149,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E106969,Xywav 2020 - Master - 201001 - WB-S - Launch
W01E119067,Opdivo Metastatic Melanoma 2020 - WB-S 200921 Creative Swap
W19529,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E123804,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W05255,Tremfya 2020 - WB-S - 200901 - ISI Swap
W31091,Mavenclad 2020 - WB-S 200401 Launch
W15583,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200827 Creative Swap
W01E127096,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01Y109220,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200102 Launch
W01E101225,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W19504,Unity4TeenVax_2020_2H_WB_200720_Launch
W01Y112567,CVS 2020 - Master - WB-S Abbrev List Delivery 200102 Launch
W01E116607,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E129549,Unity4TeenVax_2020_2H_WB_200720_Launch
W16058,Dexcom CGM 2020 - Master -200720 - WB-S - Launch
W20245,CVS 2020 - Master - WB-S Abbrev List Better MDP 200626 Creative Swap
W01E100948,Xywav 2020 - Master - 201001 - WB-S - Launch
W39806,Trelegy COPD 2020 - Master - Patient Companion - 201008 - WB-S - Launch
W01E132505,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E104879,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200921 Creative Swap
W01E107204,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W37748,Erleada 2020 ERT Brochure WB - Addendum - WB-S - 201106 - Creative Swap
W08070,Dexcom CGM 2020 - Master -200720 - WB-S - Launch
W36984,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W13724,Repatha_2020_Master_WB_200601_Launch
W43227,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200102 Launch
W05171,Xywav 2020 - Master - 201001 - WB-S - Launch
W01E121288,Repatha_2020_Master_WB_S_200401_Launch
W01E117198,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W11332,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E112161,Austedo 2020 - Master - Targeting Change - 201102 - WB-S - Launch
W01E122258,Ajovy 2020 - 200701 - WB-S - Launch
W11332,CVS 2020 - Master - WB-S Abbrev List Better MDP 200317 Creative Swap
W42952,P_G - Align Probiotics - POC Test - WB-S - 200901 - Launch
W01E129986,Unity4TeenVax_2020_2H_WB_200720_Launch
W42952,CVS 2020 - Master - WB-S Abbrev List Better MDP 200414 Creative Swap
W27346,Repatha_2020_Master_WB_S_200401_Launch
W27346,Repatha_2020_Master_WB_200601_Launch
W13870,Repatha_2020_Master_WB_200601_Launch
W01E100428,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01E126217,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W08066,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W04541,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W05174,Xywav 2020 - Master - 210104 - WB-S - Creative Swap
W13785,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E105382,Opdivo Adjunctive Melanoma 2020 - WB-S 201008 Creative Swap
W35122,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01Y102970,CVS 2020 - Master - WB-S Peds Better MDP 200102 Launch
W01E116881,IMBRUVICA CLL 2H 2020 - WB-S - 200812 - ISI Swap
