asset_id,avg_campaigns,JUNE_avg_video_dispalys,JUL_avg_video_dispalys,AUG_avg_video_dispalys,SEPT_avg_video_dispalys,OCT_avg_video_dispalys,NOV_avg_video_dispaly,JUNE_avg_video_duration,JUL_avg_video_duration,AUG_avg_video_duration,SEPT_avg_video_duration,OCT_avg_video_duration,NOV_avg_video_duration
W28848,2.8,0.0,0.0,0.0,0.0,0.0,148.94444444444446,0.0,0.0,0.0,0.0,0.0,1697148.0
W28848,2.8,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,613240.4090909091,0.0,0.0
W28848,2.8,0.0,0.0,111.07142857142857,0.0,0.0,0.0,0.0,0.0,3336257.0,0.0,0.0,0.0
W28848,2.8,0.0,0.0,0.0,0.0,150.72727272727272,0.0,0.0,0.0,0.0,0.0,567592.3636363636,0.0
W28848,2.8,0.0,173.2,0.0,0.0,0.0,0.0,0.0,3976471.0,0.0,0.0,0.0,0.0
W01E119675,2.4,0.0,0.0,0.0,0.0,0.0,401.6111111111111,0.0,0.0,0.0,0.0,0.0,0.0
W01E119675,2.4,0.0,0.0,278.0952380952381,0.0,0.0,0.0,0.0,0.0,5661048.666666667,0.0,0.0,0.0
W01E119675,2.4,0.0,0.0,0.0,0.0,396.1363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E119675,2.4,0.0,0.0,0.0,281.04545454545456,0.0,0.0,0.0,0.0,0.0,1562863.4090909092,0.0,0.0
W01E119675,2.4,0.0,281.2,0.0,0.0,0.0,0.0,0.0,5630851.9,0.0,0.0,0.0,0.0
W01E101602,2.0,122.63636363636364,0.0,0.0,0.0,0.0,0.0,2456526.909090909,0.0,0.0,0.0,0.0,0.0
W01E101602,2.0,0.0,230.2173913043478,0.0,0.0,0.0,0.0,0.0,4650901.608695652,0.0,0.0,0.0,0.0
W13252,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,218.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0
W13252,1.3333333333333333,0.0,0.0,0.0,109.0909090909091,0.0,0.0,0.0,0.0,0.0,590020.4545454546,0.0,0.0
W13252,1.3333333333333333,0.0,0.0,107.9,0.0,0.0,0.0,0.0,0.0,2163227.8,0.0,0.0,0.0
W13252,1.3333333333333333,0.0,0.0,0.0,0.0,198.22727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W13252,1.3333333333333333,0.0,109.77777777777777,0.0,0.0,0.0,0.0,0.0,2198982.277777778,0.0,0.0,0.0,0.0
W13252,1.3333333333333333,109.95454545454545,0.0,0.0,0.0,0.0,0.0,2202542.0,0.0,0.0,0.0,0.0,0.0
W01Y101292,2.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,5244651.0,0.0,0.0,0.0
W01Y101292,2.0,0.0,260.9,0.0,0.0,0.0,0.0,0.0,5228026.6,0.0,0.0,0.0,0.0
W01Y100280,2.0,0.0,245.375,0.0,0.0,0.0,0.0,0.0,4912774.375,0.0,0.0,0.0,0.0
W01E127508,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
W01E127508,3.0,0.0,0.0,0.0,257.25,0.0,0.0,0.0,0.0,0.0,3520802.4166666665,0.0,0.0
W01E127508,3.0,479.3181818181818,0.0,0.0,0.0,0.0,0.0,9700496.636363637,0.0,0.0,0.0,0.0,0.0
W01E127508,3.0,0.0,0.0,356.85714285714283,0.0,0.0,0.0,0.0,0.0,7273418.428571428,0.0,0.0,0.0
W01E127508,3.0,0.0,223.95652173913044,0.0,0.0,0.0,0.0,0.0,4531253.521739131,0.0,0.0,0.0,0.0
W01E127508,3.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
